code_famille,code_categorie_gm,libelle_famille,est_bloque
A01,A,EXCAVATRICES,
A02,A,OUTILS ET ACCESSOIRES POUR EXCAVATRICES,
A03,A,TRACTEURS-BULLDOZER ET TRACTEURS-CHARGE,
A04,A,OUTILS ET ACCESSOIRES POUR TRACTEURS,
A05,A,SCRAPERS AUTOMOTEURS ET REMORQUES,
A06,A,NIVELEUSES,
A07,A,ROULEAUX ET ENGINS DE COMPACTAGE DU SOL,
A08,A,MATERIEL POUR CONSTRUCTION ET ENTRETIEN,
A09,A,TRACTEURS AUTOMOTEURS ( PRIME-MOVER ),
A10,A,MATERIEL DE NETTOYAGE TERRAIN,
A11,A,MATERIEL POUR FORAGE DU SOL,
A12,A,MATERIEL POUR SOUTERRAINS ET MINES,
A13,A,NULL,
B01,B,MACHINES DE PILOTAGE,
B02,B,MARTEAUX DE BATTAGE ET EXTRACTEURS DE PI,
B03,B,PIECES DE GUIDAGE ET CASQUES POUR PIEUX,
B04,B,TREUILS DE BATTAGE,
B05,B,CHASSIS POUR MACHINES DE PILOTAGE,
B06,B,ACCESSOIRES DIVERS POUR PILOTAGE,
B07,B,MACHINES SPECIALES DE MARTEAUX DE PILOTA,
B08,B,MATERIEL DE CONSOLIDATION DU SOL,
B09,B,MATERIEL SPECIAL DE BATTAGE DES PIEUX E,
B10,B,MATERIEL POUR ESSAI DE SOL ET DE PIEUX,
B11,B,Manquante,
B12,B,PIEUX,
C01,C,INSTALLATIONS COMPLETES POUR CARRIERES,
C02,C,APPAREILS CONCASSEURS,
C03,C,BROYEURS ET PULVERISATEURS,
C04,C,STATION DE CRIBLAGE ET LAVAGE DES AGREGA,
C05,C,STATION ESSUYAGE ET TRIAGE DU SABLE,
C06,C,STATION DE REFROIDISSEMENT OU CHAUFFAGE,
C07,C,EQUIPEMENT POUR TRANSPORT DES AGREGATS,
D01,D,CENTRALE A BETON,
D02,D,EQUIPEMENT POUR DOSAGE DES AGREGATS,
D03,D,EQUIPEMENT DE MANUTENTION DU CIMENT,
D04,D,BETONNIERES ORDINAIRES,
D05,D,BETONNIERES SPECIALES,
D06,D,EQUIPEMENT POUR TRANSPORT DU BETON,
D07,D,TREMIES ET BENNES POUR BETON,
D08,D,EQUIPEMENT POUR FINISSAGE DU BETON,
D09,D,EQUIPEMENT POUR GUNITAGE ET INJECTION,
D10,D,EQUIPEMENT POUR FABRICATION DE BETON,
D11,D,EQUIPEMENT POUR BETONNAGE DES ROUTES,
D12,D,EQUIPEMENT POUR LE REFROIDISSEMENT OU CH,
D13,D,EQUIPEMENT DIVERS POUR LES TRAVAUX DE BE,
E01,E,GRUES MOBILES,
E02,E,GRUES FIXES,
E03,E,GRUE-PORTAIL ET GRUE-PONT,
E04,E,BLONDINS,
E05,E,MONTE-CHARGE ET ELEVATEURS,
E06,E,TREUILS,
E07,E,MOUFLES ET PALANS,
E08,E,CRICS,
E09,E,MATERIEL SPECIAL DE LAVAGE,
E10,E,ACCESSOIRES DIVERS POUR GRUES ET TREUILS,
F01,F,VEHICULES POIDS LOURS,
F02,F,VEHICULES POIDS MOYENS,
F03,F,VEHICULES UTILITAIRES,
F04,F,VEHICULES POUR TRANSPORT DE PASSAGERS,
F05,F,VEHICULES POUR SERVICE SPECIAL,
F06,F,VEHICULES INDUSTRIELS,
F07,F,MATERIEL CHEMINS DE FER ORDINAIRE,
F08,F,MATERIEL CHEMINS DE FER LEGER,
F09,F,MATERIEL POUR LE TRANSPORT AERIEN,
F10,F,ACCESSOIRES DIVERS POUR VEHICULES,
F11,F,"MATERIEL POUR CONTRÔLE DU TRAFIC",
F12,F,VEHICULES DIVERS,
F13,F,EQUIPEMENT DE TRANSPORT EN CONTINU,
G01,G,REMORQUEURS,
G02,G,BATEAUX A MOTEUR,
G03,G,CHALANDS,
G04,G,PONTONS,
G05,G,"RADEAUX, BATEAUX ET CANOTS",
G06,G,BATEAUX A MOTEURS SPECIAUX,
G07,G,EQUIPEMENT POUR DRAGAGE,
G08,G,GRUES ET MARTEAUX FLOTTANTS POUR LE PILO,
G09,G,MARTEAUX POUR TRAVAUX EN MER,
G10,G,MACHINES DIVERS POUR TRAVAUX MARITIMES,
G11,G,EQUIPEMENT POUR TRAVAUX SOUS-MARINS,
G12,G,EMBARCATIONS ET NAVIRES,
H01,H,EQUIPEMENT POUR FERRAILLAGE,
H02,H,EQUIPEMENT POUR MENUISERIE,
H03,H,MACHINES-OUTILS POUR ATELIERS,
H04,H,MATERIEL DE FERRONNERIE,
H05,H,MATERIEL DE REPARATION ET D'ENTRETIEN,
H06,H,MATERIEL DE NETTOYAGE ET DE GRAISSAGE,
H07,H,MATERIEL POUR ATELIERS ELECTRIQUES,
H08,H,MATERIEL POUR ENTRETIEN DE FLEURETS,
H09,H,MATERIEL POUR TRAITEMENT DE SURFACES,
H10,H,MATERIEL ET OUTILS DIVERS POUR ATELIERS,
H11,H,EQUIPEMENT POUR MAGASINS ET ENTREPOTS,
L01,L,MATERIEL SPECIAL POUR POSE DE TUNNEL BAS,
L02,L,MATERIEL SPECIAL POUR CONSTRUCTION DE PO,
L03,L,MATERIEL SPECIAL POUR POSE DE TUYAUX,
L04,L,EQUIPEMENT DE CENTRAGE,
L05,L,MATERIEL SPECIAL POUR PILONNAGE,
M01,M,PRODUCTEURS D'ENERGIE,
M02,M,GROUPES ELECTROGENES,
M03,M,SYSTEME DE DISTRIBUTION ELECTRIQUE,
M04,M,POMPES A EAU,
M05,M,SYSTEME DE DISTRIBUTION D'EAU,
M06,M,COMPRESSEURS ET POMPES A AIR,
M07,M,SYSTEME DE DISTRIBUTION D'AIR COMPRIME,
M08,M,OUTILS PNEUMATIQUES ( MANUELS ),
M09,M,INSTALLATION DE PRODUCTION DE VAPEUR,
M10,M,SYSTEME DE DISTRIBUTION DE VAPEUR,
M11,M,MATERIEL POUR REFROIDISSEMENT, CHAUFFAGE,
M12,M,MATERIEL D'ASSECHEMENT,
M13,M,MATERIEL D'ECHAFAUDAGE ET DE COFFRAGE,
M14,M,BATIMENTS DE CHANTIER,
M15,M,INSTALLATIONS DIVERS POUR CHANTIER,
M16,M,MATERIEL POUR SERVICES GENERAUX DES CHAN,
M17,M,INSTRUMENTS,
M18,M,EQUIPEMENT DE SECURITE ET DE PROTECTION,
M19,M,EQUIPEMENT DE CAMP ET CANTINE,
